Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
Iran,124603.0,2020-05-19,-0.29559226892900425,-0.5439756746484227,-0.02715687266107009,no declining,-0.02715687266107009,152
Cabo Verde,335.0,2020-05-19,-0.1932367149758454,-0.6802721088435374,-0.029166666666666667,no declining,-0.029166666666666667,153
Qatar,35606.0,2020-05-19,-0.3545396997648761,-0.9700776009469946,-0.031044570641886083,no declining,-0.031044570641886083,154
Nigeria,6401.0,2020-05-19,-0.21934604904632152,-0.8873892872205821,-0.03110599078341014,no declining,-0.03110599078341014,155
Moldova,6340.0,2020-05-19,-0.24388563554943166,-0.3458814759597465,-0.03289473684210526,no declining,-0.03289473684210526,156
Togo,338.0,2020-05-19,-1.28125,-3.8666666666666663,-0.0330188679245283,no declining,-0.0330188679245283,157
Argentina,8809.0,2020-05-19,-0.26517571884984026,-0.6881851400730816,-0.03355704697986577,no declining,-0.03355704697986577,158
Lebanon,954.0,2020-05-19,-0.10983606557377047,-0.3274509803921569,-0.03516819571865444,no declining,-0.03516819571865444,159
Ethiopia,365.0,2020-05-19,-0.6,-3.8,-0.03896103896103896,no declining,-0.03896103896103896,160
Colombia,16935.0,2020-05-19,-0.3932788374205268,-0.9723561555769848,-0.04,no declining,-0.04,161
Mexico,54346.0,2020-05-19,-0.3417227933356965,-0.6927549194991055,-0.04050215339503345,no declining,-0.04050215339503345,162
Sudan,2728.0,2020-05-19,-0.6555397727272727,-2.515837104072398,-0.041089772219740965,no declining,-0.041089772219740965,163
Pakistan,43966.0,2020-05-19,-0.23201678299108405,-0.9408923350705478,-0.042252559726962464,no declining,-0.042252559726962464,164
Bangladesh,25121.0,2020-05-19,-0.4897082108120335,-1.114738306753719,-0.04340937896070976,no declining,-0.04340937896070976,165
Gabon,1502.0,2020-05-19,-0.6345885634588564,-2.9328859060402683,-0.04642857142857143,no declining,-0.04642857142857143,166
Egypt,13484.0,2020-05-19,-0.2575107296137339,-0.8097230524008767,-0.046549141606175834,no declining,-0.046549141606175834,167
Bolivia,4481.0,2020-05-19,-0.4898929845422117,-1.4584695879659908,-0.04824316787506972,no declining,-0.04824316787506972,168
India,106475.0,2020-05-19,-0.2825083760035401,-0.8133174437658275,-0.05048412986071558,no declining,-0.05048412986071558,169
Paraguay,829.0,2020-05-19,-0.06137184115523465,-1.0559440559440558,-0.053763440860215055,no declining,-0.053763440860215055,170
Oman,5671.0,2020-05-19,-0.6585167074164631,-1.1834763948497855,-0.054950751684810784,no declining,-0.054950751684810784,171
Kenya,963.0,2020-05-19,-0.32142857142857145,-0.6869300911854104,-0.055133079847908745,no declining,-0.055133079847908745,172
Congo (Kinshasa),1629.0,2020-05-19,-0.4013157894736841,-1.1996557659208262,-0.06058091286307054,no declining,-0.06058091286307054,173
El Salvador,1498.0,2020-05-19,-0.5357710651828299,-1.625,-0.0627062706270627,no declining,-0.0627062706270627,174
Honduras,2955.0,2020-05-19,-0.4067505720823799,-1.3308056872037914,-0.06358131487889274,no declining,-0.06358131487889274,175
Kuwait,16764.0,2020-05-19,-0.684551471623715,-2.2052518756698816,-0.06480327576998397,no declining,-0.06480327576998397,176
Uganda,260.0,2020-05-19,-1.6621621621621618,-3.581395348837209,-0.06486486486486487,no declining,-0.06486486486486487,177
Brazil,271885.0,2020-05-19,-0.5791575421872988,-1.4809093362115489,-0.06556759575824303,no declining,-0.06556759575824303,178
Angola,52.0,2020-05-19,-0.06666666666666668,-0.39130434782608703,-0.06666666666666668,no declining,-0.06666666666666668,179
Malta,569.0,2020-05-19,-0.5373134328358209,-0.3918918918918919,-0.07291666666666667,no declining,-0.07291666666666667,180
Bahrain,7532.0,2020-05-19,-0.3717717717717718,-1.3425641025641026,-0.0771044564961094,no declining,-0.0771044564961094,181
Nepal,402.0,2020-05-19,-0.9728260869565216,-4.5,-0.0771513353115727,no declining,-0.0771513353115727,182
Jordan,649.0,2020-05-19,-0.2598870056497175,-1.5632183908045978,-0.07729468599033816,no declining,-0.07729468599033816,183
Chile,49579.0,2020-05-19,-0.5968367997219165,-1.4986855226180764,-0.08447434686811457,no declining,-0.08447434686811457,184
Afghanistan,7653.0,2020-05-19,-0.5676762896355892,-1.4464549483013294,-0.08642177763201049,no declining,-0.08642177763201049,185
Central African Republic,366.0,2020-05-19,-1.6165413533834587,-3.64,-0.10828025477707008,no declining,-0.10828025477707008,186
Guatemala,2133.0,2020-05-19,-0.8393536121673004,-1.9097744360902256,-0.11270845313398505,no declining,-0.11270845313398505,187
Equatorial Guinea,825.0,2020-05-19,-0.8862559241706162,-1.6622073578595318,-0.1536231884057971,no declining,-0.1536231884057971,188
Cayman Islands,111.0,2020-05-19,-0.6176470588235294,-0.1702127659574468,-0.4473684210526316,no declining,-0.1702127659574468,189
Djibouti,1618.0,2020-05-19,-0.5749318801089919,-0.5495978552278821,-0.1724137931034483,no declining,-0.1724137931034483,190
Yemen,167.0,2020-05-19,-1.4814814814814814,-6.882352941176472,-0.22935779816513766,no declining,-0.22935779816513766,191
Venezuela,749.0,2020-05-19,-1.5181347150259068,-1.5181347150259068,-0.3690140845070423,no declining,-0.3690140845070423,192
Mauritania,131.0,2020-05-19,-59.0,-119.0,-0.7142857142857143,no declining,-0.7142857142857143,193
Spain,232037.0,2020-05-19,-2.2876066312570416,-1.9084294461056528,-2.816427196801256,no declining,-1.9084294461056528,194
Nicaragua,254.0,2020-05-19,-2.8,-8.5,-2.8,no declining,-2.8,195
