Country/Region,Bm,DATE,Feature
United Kingdom,1.0,2019-12-13,INDEX
United Kingdom,1.0,2019-12-16,INDEX
United Kingdom,1.0,2019-12-17,INDEX
United Kingdom,1.0,2019-12-18,INDEX
United Kingdom,1.0,2019-12-19,INDEX
United Kingdom,1.0,2019-12-20,INDEX
United Kingdom,1.0,2019-12-23,INDEX
United Kingdom,1.0,2019-12-24,INDEX
United Kingdom,1.0,2019-12-27,INDEX
United Kingdom,1.0,2019-12-30,INDEX
United Kingdom,1.0,2019-12-31,INDEX
United Kingdom,1.0,2020-01-02,INDEX
United Kingdom,1.0,2020-01-03,INDEX
United Kingdom,1.0,2020-01-06,INDEX
United Kingdom,1.0,2020-01-07,INDEX
United Kingdom,1.0,2020-01-08,INDEX
United Kingdom,1.0,2020-01-09,INDEX
United Kingdom,1.0,2020-01-10,INDEX
